TimeStep,c_t,c_wcaPair,c_patchPair,c_swapPair,c_ep,c_ek,v_eT,v_ec,v_eC,c_p,v_eB,v_eA,v_eM,N_exp,phi,chi_4,temp,damp,N_heat,N_isothermal
7.574e6,0.05011363333333333,83.14623333333334,-5455.115000000001,0.0,-4808.295,1165.0683333333334,-0.23504683333333334,2335.733333333333,2335.5,-0.000158828,0.019071016666666666,0.017295066666666668,0.03636606666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.575e6,0.04992233333333334,83.7885,-5455.871666666667,0.0,-4808.786666666667,1160.6200000000001,-0.23536566666666667,2340.7516666666666,2340.515,0.00038764216666666663,0.018961416666666665,0.017380266666666665,0.03634168333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.576e6,0.0499722,83.5434,-5456.018333333333,0.0,-4807.591666666666,1161.7783333333332,-0.23521383333333334,2338.5866666666666,2338.35,0.00028733493333333335,0.01901251666666667,0.017431733333333334,0.03644426666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.577e6,0.0500199,84.14871666666666,-5455.211666666666,0.0,-4806.8,1162.8883333333333,-0.23509116666666666,2336.8633333333337,2336.6283333333326,0.0006684278333333333,0.019010566666666666,0.01739348333333333,0.036404033333333335,6,0.05,0.05,0.05,1.0,500000,9500000
7.578e6,0.050065733333333334,83.72658333333332,-5455.543333333334,0.0,-4806.823333333333,1163.9533333333331,-0.23502383333333335,2336.0483333333336,2335.813333333333,0.00021984499999999998,0.019022516666666666,0.0174288,0.03645131666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.579e6,0.04998536666666667,83.66248333333333,-5455.16,0.0,-4808.62,1162.085,-0.23526033333333332,2339.885,2339.646666666666,-3.478649999999998e-5,0.019010033333333332,0.017304816666666667,0.0363148,6,0.05,0.05,0.05,1.0,500000,9500000
7.58e6,0.04998930000000001,83.31745,-5455.025000000001,0.0,-4809.165,1162.1766666666665,-0.2352896666666667,2340.5233333333335,2340.2900000000004,0.0002025545,0.019043866666666666,0.017249233333333332,0.03629308333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.581e6,0.049982133333333324,84.06116666666667,-5455.216666666666,0.0,-4808.331666666667,1162.01,-0.2352465,2340.048333333333,2339.8166666666666,0.0004987896166666666,0.018986133333333332,0.017324983333333335,0.036311133333333336,6,0.05,0.05,0.05,1.0,500000,9500000
7.582e6,0.049991716666666665,84.33956666666667,-5455.268333333334,0.0,-4807.683333333333,1162.2316666666668,-0.2351905,2339.366666666667,2339.133333333333,0.0003191706666666666,0.0190086,0.017329916666666667,0.03633851666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.583e6,0.050033933333333336,83.73185000000001,-5455.860000000001,0.0,-4808.505,1163.215,-0.23518000000000003,2339.3333333333335,2339.098333333334,4.827916666666664e-5,0.018948783333333333,0.01741386666666667,0.03636263333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.584e6,0.049942999999999994,84.53884999999998,-5456.613333333334,0.0,-4808.295,1161.1016666666667,-0.23530266666666666,2341.3133333333335,2341.0766666666664,0.0007391268933333333,0.018894949999999997,0.01747813333333333,0.03637306666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.585e6,0.04996166666666666,84.49311666666667,-5455.516666666666,0.0,-4806.831666666667,1161.5333333333335,-0.23518066666666668,2339.5766666666664,2339.345,0.0002378065,0.018995833333333333,0.017403666666666668,0.036399466666666665,6,0.05,0.05,0.05,1.0,500000,9500000
7.586e6,0.05014218333333333,83.30015000000002,-5455.931666666666,0.0,-4807.389999999999,1165.7316666666668,-0.23494583333333333,2336.141666666667,2335.9066666666668,0.0003014268333333333,0.019058533333333336,0.017408583333333335,0.0364671,6,0.05,0.05,0.05,1.0,500000,9500000
7.587e6,0.050041883333333335,84.3919,-5455.168333333333,0.0,-4806.72,1163.3983333333333,-0.23505299999999998,2337.98,2337.746666666667,0.000657666,0.019038716666666667,0.017352033333333333,0.03639075,6,0.05,0.05,0.05,1.0,500000,9500000
7.588e6,0.05003693333333333,84.2992,-5454.923333333333,0.0,-4805.678333333333,1163.2816666666668,-0.23499316666666667,2337.2166666666667,2336.98,0.0005158636666666667,0.019077283333333334,0.017370733333333332,0.036448,6,0.05,0.05,0.05,1.0,500000,9500000
7.589e6,0.049992249999999995,84.48553333333334,-5454.7716666666665,0.0,-4806.451666666667,1162.245,-0.23511,2339.193333333333,2338.9566666666665,0.00026738233333333336,0.019061616666666666,0.017314983333333336,0.03637658333333333,6,0.05,0.05,0.05,1.0,500000,9500000
7.59e6,0.04998986666666666,84.99495000000002,-5455.75,0.0,-4808.365,1162.1916666666668,-0.235237,2341.34,2341.106666666667,0.0005395364666666666,0.018977366666666665,0.01730601666666667,0.03628343333333334,6,0.05,0.05,0.05,1.0,500000,9500000
7.591e6,0.04996710000000001,84.41633333333333,-5455.9800000000005,0.0,-4808.1483333333335,1161.6616666666666,-0.2352571666666667,2341.798333333333,2341.563333333333,0.000339835,0.01899615,0.0173533,0.03634941666666667,6,0.05,0.05,0.05,1.0,500000,9500000
7.592e6,0.04989791666666666,83.91481666666667,-5455.918333333334,0.0,-4809.916666666667,1160.0533333333335,-0.23547516666666668,2345.358333333333,2345.121666666667,0.00013877981666666667,0.018958283333333336,0.01730543333333333,0.03626371666666666,6,0.05,0.05,0.05,1.0,500000,9500000
7.593e6,0.04993829999999999,83.59943333333334,-5455.661666666668,0.0,-4808.106666666667,1160.99,-0.235298,2342.855,2342.62,0.00014352708333333333,0.019041933333333334,0.0173422,0.03638415,6,0.05,0.05,0.05,1.0,500000,9500000
