poreDomain,histLength,phi,CL-Con,Temperature,damp,N_heat,N_isot,timeStep
131.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
131.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
132.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
132.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
133.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
133.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
134.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
134.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
135.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
135.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
136.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
136.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
137.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
137.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
138.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
138.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
139.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
139.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
140.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
140.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
141.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
141.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
142.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
142.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
143.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
143.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
144.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
144.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
145.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
145.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
146.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
146.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
147.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
147.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
148.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
148.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
149.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
149.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
150.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
150.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
151.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
151.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
152.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
152.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
153.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
153.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
154.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
154.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
155.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
155.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
156.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
156.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
157.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
157.5,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
158.0,0.0,0.01,0.05,0.05,1.0,500000.0,9.5e6,10000000
